 ,Area,XM,YM
359,42,286.571,164.595
360,42,287.571,164.69
361,42,287.833,163.333
362,41,287.354,160.646
363,41,285.646,157.646
364,42,285.333,155.452
365,42,285.333,154.548
366,42,286.31,155.905
367,41,287.5,158.256
368,43,288.616,160.384
369,46,289.348,161.935
370,41,289.744,162.5
371,42,289.667,162.452
372,42,289.69,161.571
373,44,289.773,160.727
374,43,289.035,160.244
375,41,288.085,159.841
376,42,287.333,159.548
377,42,287.571,158.69
378,41,288.256,157.5
379,42,289.714,156.048
380,43,291.174,154.663
381,45,292.211,154.367
382,44,292.545,153.432
383,42,293.333,151.786
384,41,294.744,150.5
385,43,297.221,149.57
386,42,298.429,149.69
387,43,298.616,151.384
388,42,297.5,151.833
389,42,295.333,152.548
390,44,293.545,152.432
391,44,292.5,152.0
392,44,291.75,152.023
393,43,291.523,151.919
394,46,292.109,151.957
395,44,292.909,152.386
396,44,294.0,152.0
397,42,295.571,151.31
398,40,297.175,149.65
399,41,297.476,148.915
400,41,297.207,148.427
401,42,297.262,148.643
402,41,296.646,149.646
403,43,295.43,151.221
404,45,294.367,152.211
405,45,294.367,152.211
406,42,295.167,151.5
407,41,296.5,150.744
408,44,297.568,150.455
409,41,297.5,151.256
410,43,296.477,151.919
411,42,295.571,152.69
412,41,295.256,152.5
413,44,295.5,152.0
414,42,296.167,152.5
415,43,296.477,153.081
416,42,296.738,153.643
417,43,297.779,154.57
418,41,299.5,155.744
419,40,302.475,157.825
420,41,304.5,159.744
421,43,305.616,161.384
422,42,306.0,162.548
423,41,305.5,163.744
424,42,304.429,164.31
425,41,302.744,164.5
426,42,300.429,164.69
427,40,297.5,164.0
428,41,295.5,163.744
429,44,295.25,163.295
430,43,296.919,162.477
431,41,299.378,162.476
432,41,301.354,163.354
433,42,302.214,164.19
434,42,302.31,164.238
435,42,301.667,163.548
436,40,299.7,162.575
437,43,298.058,161.942
438,43,296.616,161.384
439,43,295.942,161.384
440,43,296.57,162.221
441,41,297.5,163.256
442,41,296.915,164.622
443,42,296.31,165.905
444,43,295.57,165.779
445,42,295.5,164.833
446,41,295.5,164.256
447,44,295.295,163.614
448,43,294.081,163.477
449,41,291.841,162.817
450,43,288.919,161.523
451,40,286.5,160.0
452,42,284.571,158.69
453,41,283.5,158.256
454,44,283.864,158.409
455,41,285.354,159.354
456,42,287.143,160.952
457,42,289.143,162.929
458,42,291.429,164.31
459,42,292.048,163.595
460,43,290.221,162.779
461,43,287.919,161.523
462,41,286.793,160.573
463,41,285.5,159.744
464,42,284.833,159.5
465,43,284.5,159.64
466,41,283.768,159.72
467,42,283.571,160.31
468,42,283.81,160.429
469,44,284.25,159.818
470,42,284.5,160.167
471,41,284.256,160.5
472,42,283.667,160.786
473,42,283.5,161.167
474,42,283.5,160.833
475,42,283.81,160.571
476,42,284.5,161.167
477,44,284.864,161.591
478,46,285.283,162.217
479,43,284.919,162.477
480,45,284.944,162.211
481,43,285.36,161.5
482,43,286.012,160.64
483,42,286.69,159.571
484,41,286.744,157.793
485,42,286.429,155.69
486,43,285.616,154.384
487,41,284.744,155.5
488,42,284.833,157.5
489,41,285.524,158.915
490,45,285.967,159.3
491,43,285.919,158.523
492,43,285.081,157.523
493,42,283.643,156.262
494,43,283.407,155.221
495,42,284.31,155.571
496,41,284.646,157.354
497,43,285.081,158.477
498,43,285.081,158.523
499,42,284.667,158.167
500,42,284.571,157.31
501,41,284.5,156.256
502,41,284.5,156.256
503,44,284.591,155.864
504,43,284.756,156.36
505,44,283.955,156.659
506,41,282.5,157.256
507,42,281.262,157.643
508,43,280.058,157.709
509,41,278.305,158.085
510,41,275.329,158.841
511,42,272.571,159.69
512,42,270.262,160.357
513,41,268.744,161.5
514,47,268.266,162.053
515,41,268.744,161.5
516,42,270.429,160.31
517,40,272.475,159.175
518,41,274.744,157.5
519,45,277.033,156.922
520,43,277.523,157.081
521,43,276.035,157.43
522,42,273.833,158.5
523,41,272.5,159.744
524,45,272.233,160.789
525,45,271.944,162.167
526,43,271.802,163.244
527,44,271.705,163.614
528,43,271.593,162.849
529,44,271.409,162.136
530,44,271.545,161.864
531,44,271.773,161.659
532,47,271.819,162.074
533,43,272.43,163.105
534,41,273.5,164.256
535,42,273.667,165.167
536,42,273.571,166.31
537,47,273.181,166.926
538,43,272.919,166.523
539,42,272.571,165.69
540,40,272.475,164.825
541,43,271.919,164.477
542,41,272.354,163.646
543,43,273.384,163.384
544,43,275.058,163.384
545,41,276.866,162.573
546,43,278.523,161.616
547,41,279.5,159.744
548,42,279.429,158.31
549,40,277.475,158.175
550,44,275.25,158.295
551,44,273.75,158.705
552,44,273.0,159.5
553,44,273.0,159.5
554,41,273.5,159.256
555,42,274.429,158.31
556,44,275.591,156.864
557,44,277.591,155.864
558,45,279.033,155.922
559,43,279.616,156.616
560,43,279.523,156.919
561,42,279.548,156.333
562,44,279.409,155.864
563,41,279.354,156.646
564,44,279.523,157.386
565,42,279.738,157.643
566,41,280.085,158.476
567,42,279.405,159.024
568,41,278.476,160.085
569,43,276.686,161.012
570,43,275.081,161.802
571,40,272.7,163.425
572,39,269.551,165.218
573,46,267.152,165.696
574,42,265.31,165.429
575,42,264.643,164.262
576,41,265.744,162.5
577,39,267.5,160.09
578,41,269.524,157.915
579,45,271.367,157.122
580,43,272.919,158.477
581,45,273.944,159.567
582,42,274.5,161.167
583,43,274.616,162.384
584,42,274.429,162.31
585,43,273.942,161.384
586,41,272.5,160.256
587,42,270.452,161.0
588,43,268.43,162.221
589,45,268.078,162.967
590,42,269.429,162.69
591,41,270.744,161.5
592,43,272.221,160.43
593,41,271.5,159.744
594,43,270.174,160.384
595,42,268.69,161.429
596,44,268.0,162.5
597,41,268.354,162.354
598,45,268.922,161.344
599,41,269.866,160.427
600,41,270.5,159.744
601,40,270.3,160.425
602,41,269.5,160.744
603,44,268.568,161.545
604,43,268.174,162.663
605,41,268.256,162.5
606,42,268.69,161.429
607,44,268.659,160.841
608,41,267.744,160.5
609,41,265.524,159.085
610,42,262.833,156.5
611,41,260.5,153.256
612,41,259.354,150.646
613,40,259.525,149.175
614,43,261.081,148.477
615,41,263.5,149.256
616,41,266.085,150.329
617,44,268.909,151.886
618,42,270.333,153.548
619,44,270.545,155.432
620,47,270.266,157.053
621,42,270.262,158.357
622,44,270.0,158.5
623,43,269.616,157.616
